rank,candidate_key,ground,mechanism_one_line,source,source_tier,source_sample,claimed_net_sharpe_annualized,claimed_sharpe_derivation,bets_per_year_portfolio,bets_per_year_name_level,novelty_vs_55_tried,data_path,data_free,years_of_data_used,n_local,power_at_fraction_1.0_n_local,power_at_fraction_0.5_n_local,verdict,honest_conservative_claim
1,microcap_pead_sue,A,"Post-earnings-announcement drift on standardized unexpected earnings, restricted to the microcap size bin (below NYSE 20th pct)","Novy-Marx & Velikov, NBER WP 20721, Table 13 Panel B, PEAD (SUE), Micro: net +1.10%/mo t=6.56",T2,07/1963-12/2012 (49.5y),0.9324,t/sqrt(49.5) -- my calculation; NMV report no Sharpe,12,~3600,"NOVEL: pead_ear's universe is S&P 500 and its own docstring says PEAD is concentrated in small illiquid names the family excludes","Alpaca daily bars 2016+ (delisted covered); EDGAR submissions store for 8-K dates; EDGAR facts store for SUE -- microcap CIK roster NOT yet ingested (163 CIKs held)",PARTLY,10.683093771389458,8,0.4768,0.0569,DECLINE_AT_SOURCING,"Net annualized Sharpe 0.93 BEFORE post-publication decay; after McLean-Pontiff's 58% decline the honest claim is ~0.39, and Chen-Velikov's modern-era population mean is 0.11"
2,microcap_valmomprof,A,"Composite of value, momentum and gross profitability ranks, microcap bin","Novy-Marx & Velikov Table 13 Panel B, ValMomProf, Micro: gross +1.67%/mo, net +1.27%/mo t=6.14",T2,07/1963-12/2012 (49.5y),0.8727,t/sqrt(49.5) -- my calculation,12,~3600,"NOVEL as a microcap composite; the three legs were tried separately on S&P 500/600 universes","Alpaca daily bars 2016+; EDGAR facts store (microcap roster not ingested)",PARTLY,10.683093771389458,8,0.4001,0.0466,DECLINE_AT_SOURCING,"Net annualized Sharpe 0.87 undecayed; ~0.37 after McLean-Pontiff"
3,microcap_roe,A,"Return on book equity, microcap bin","Novy-Marx & Velikov Table 13 Panel B, Return-on-book-equity, Micro: net +1.24%/mo t=4.75",T2,07/1963-12/2012 (49.5y),0.6751,t/sqrt(49.5) -- my calculation,12,~3600,"NOVEL in the microcap bin; quality_cbop is cash-based operating profitability on the S&P 500 union universe","Alpaca daily bars 2016+; EDGAR facts store (microcap roster not ingested)",PARTLY,10.683093771389458,8,0.1844,0.0227,DECLINE_AT_SOURCING,"Net annualized Sharpe 0.68 undecayed; ~0.28 after McLean-Pontiff"
4,microcap_net_issuance,A,"Net share issuance, microcap bin","Novy-Marx & Velikov Table 13 Panel B, Net Issuance, Micro: net +0.74%/mo t=3.63",T2,07/1963-12/2012 (49.5y),0.5159,t/sqrt(49.5) -- my calculation,12,~3600,"NOVEL in the microcap bin; buyback family ran on a large-cap universe","Alpaca daily bars 2016+; EDGAR facts store (microcap roster not ingested)",PARTLY,10.683093771389458,8,0.0780,0.0118,DECLINE_AT_SOURCING,"Net annualized Sharpe 0.52 undecayed; ~0.22 after McLean-Pontiff"
5,smallcap_hf_combo,A,"NMV's high-frequency combo, SMALL-cap bin -- one of only two high-turnover strategies that survive costs anywhere, and it does NOT survive in microcaps","Novy-Marx & Velikov Table 13 Panel C, High-frequency Combo: Small net +0.35%/mo t=3.40 (Micro net -0.66%/mo t=-5.12)",T2,07/1963-12/2012 (49.5y),0.4832,t/sqrt(49.5) -- my calculation,~12,high,"OUTSIDE the microcap corner by construction; listed as the direct counter-evidence to the high-turnover-microcap thesis","Alpaca daily bars 2016+",YES,10.683093771389458,8,0.0635,0.0103,DECLINE_AT_SOURCING,"Net annualized Sharpe 0.48 undecayed, and only in the SMALL bin; microcap version is significantly negative"
6,largecap_industry_rel_reversal_lowvol,A,"Industry-relative reversals among low-volatility stocks, LARGE-cap bin -- the other high-turnover survivor","Novy-Marx & Velikov Table 13 Panel C, Industry Relative Reversals (Low Volatility): Large net +0.31%/mo t=2.73 (Micro net -0.86%/mo t=-5.36)",T2,07/1963-12/2012 (49.5y),0.3880,t/sqrt(49.5) -- my calculation,~12,high,"OUTSIDE the microcap corner; same counter-evidence role as row 5","Alpaca daily bars 2016+; industry classification needed (not held)",PARTLY,10.683093771389458,8,0.0331,0.0067,DECLINE_AT_SOURCING,"Net annualized Sharpe 0.39 undecayed, large caps only"
7,microcap_short_run_reversal_liqprov,A,"Daily short-horizon reversal read as paid liquidity provision, concentrated in small/illiquid/high-vol names","Nagel, NBER WP 17653, Table 1: annualized Sharpe 4.50 quote-midpoint / 8.44 transaction-price (raw); Figure 4 shows returns strongest in small, illiquid, high-vol subgroups. NET claim from Novy-Marx & Velikov Table 13 Panel C: Short-run Reversals micro net -1.90%/mo t=-7.86",T2,Nagel Jan1998-Dec2010; NMV 07/1963-12/2012,NEGATIVE,"Nagel's 4.50 is GROSS of all costs and is NOT a net claim; the sourced NET number is negative",~250,very high,"NOVEL: no equity short-term reversal family exists (the tried patterns family runs Lehmann close-streaks; eigenportfolio and jump_drift only control for reversal)","Alpaca daily bars 2016+",YES,10.683093771389458,8,1.0000 (at the GROSS 4.50 only),1.0000 (at the GROSS 4.50 only),"DECLINE_AT_SOURCING, on economics not power","The only candidate whose POWER gate passes. It fails because the strategy's return IS the spread: NMV measure it net-negative in every size bin, and Nagel himself warns fixed costs for high-speed market access would make his Sharpes 'much less extreme'"
8,crypto_short_horizon_sign_reversal,B,"15-minute directional (sign) mean reversion across Binance pairs","Kitron & Wengrowicz, arXiv:2608.21888v1: 90% of 183 Binance pairs significant out-of-sample vs 2.7% of 187 US stocks/ETFs; gross edge ~1.3 bp per trade vs 5 bp cheapest round-trip cost",T2,2021-2026 (every focal coin-year since 2021),NOT REPORTED,"The paper reports AUC gaps and per-trade bp, no Sharpe and no return volatility; net-of-cost edge is 1.3-5 = -3.7 bp",~6400000,~6400000,"NOVEL: tried crypto reversal is De Bondt-Thaler long-horizon; ofi_crypto is explicitly orthogonalized away from short-term reversal","Binance spot/futures klines, free from 2017-08 (spot) -- would need 15-min bars, which the archive publishes",YES,n/a,n/a,CANNOT_RUN,CANNOT_RUN,DECLINE_AT_SOURCING,"Highest bet count this project has ever sourced and a real, well-designed measurement -- and the authors' own net-of-cost figure is negative. An honest claim is 'detectable, not capturable at benchmark spot costs'"
9,crypto_exchange_listing_drift,B,"Post-listing drift around cryptocurrency exchange listings","Ante, BRL WP No. 3: 327 listings of 180 coins on 22 exchanges; AAR +5.7% on listing day, CAAR +9.2% over (-3,+3); up to 25.5% on a few exchanges, insignificant or negative on others; Binance post-listing 3-day CAAR negative",T2,"sample START DATE NOT STATED in the text I read; the working paper is dated 2019-09-08 so all events precede it",NOT REPORTED,"Event-study abnormal returns with t/z tests; no Sharpe, no strategy volatility",~100,~100,"NOVEL: no event-driven crypto family exists",Binance/exchange announcement history + klines,PARTLY,n/a,n/a,CANNOT_RUN,CANNOT_RUN,DECLINE_AT_SOURCING,"Bet count is order 100/yr pooled across 22 exchanges -- two orders below H1's line -- and the day-0 return is not available to a participant who learns of the listing from the announcement"
10,crypto_open_interest_positioning,B,"Open interest and long/short positioning ratios as directional predictors across perps",NO PRIMARY SOURCE FOUND,H,n/a,NOT SOURCED,n/a,unknown,unknown,"would be NOVEL","Binance public archive futures/um/daily/metrics -- VERIFIED free, earliest BTCUSDT file 2020-09-01, 6.027 years, columns include sum_open_interest and the long/short ratios",YES,6.027,n/a,CANNOT_RUN,CANNOT_RUN,DECLINE_AT_SOURCING,"A real free dataset with no source-based claim attached to it. CLAUDE.md requires a source paper's claim to pre-check against; searches returned only exchange-blog and vendor material"
