rank,ground,structural_protection_why_big_players_absent,best_supporting_evidence,supporting_tier,best_anti_evidence,anti_tier,sharpe_regime,testable_given_power_finding,data_needed,data_free,capital_capacity_order_of_magnitude,accessibility_0_3,notes
1,Crypto perpetual-futures basis (random-maturity arbitrage),"Nothing excludes large players; the protection is that the measured result is already net of RETAIL-tier fees, and per-opportunity capacity is small enough that a large book cannot scale into it without moving the spread","He/Manela/Ross/von Wachter (arXiv:2212.06888v6, sample Jan2020-Mar2024): annualised Sharpe 1.8 (intro) / 2.00 (results) on BTC at the fee tier their Table 3 labels 'typically an individual trader'; up to 3.5 at zero-fee tier; higher for ETH and other tokens; significant alpha vs 3- and 5-factor crypto models",T2,"Same paper reports a STRUCTURAL BREAK since 2022: deviations smaller and less volatile, fewer positions taken, significantly lower annualised returns. Also requires spot shorting infrastructure that the authors say is not well-developed (they test a long-spot-only variant for this reason)",T2,High frequency of bets (deviation-triggered entries across multiple tokens; mean absolute deviation 60-90%/yr),YES - high bet count and high Sharpe make this one of the few certifiable grounds,"Binance (or equivalent) spot + perpetual tick/minute data and funding rates; project already holds binance_futures data",YES,"GUESS: 1e5-1e7 USD per token before the spread closes. The paper gives no capacity estimate - this is a GUESS and must not be cited as sourced",2,"The only source in this review that reports returns at an explicitly retail fee tier. Legal access for a Thailand-resident participant UNVERIFIED (COULD_NOT_VERIFY B.11)"
2,Prediction-market internal-consistency arbitrage (Polymarket-style),"Top participants earn 0.4-2.0m USD/yr each - below the threshold at which a large market-maker firm staffs a desk. On-chain settlement, no institutional custody path, legally awkward venue","Saguillo/Ghafouri/Kiffer/Suarez-Tangil (AFT 2025, LIPIcs peer-reviewed), Apr2024-Apr2025, 86m bids: 39,587,585 USD of REALISED executed arbitrage profit; top account 2,009,631 USD over 4,049 opportunities; #4 768,565 USD over 211; no per-trade fee charged by the venue during the window",T1,"Profits heavily concentrated in a handful of bot-like automated wallets (top 10 accounts alone total ~8.2m USD). Authors call the volume 'relatively modest' vs DEXs and found 'a limited number of dependent markets'. Opportunity DURATION not reported - cannot rule out a latency race. Whether the venue still charges zero fees is UNVERIFIED",T1,High frequency of bets (hundreds to thousands of opportunities per top account per year),YES - bet count is the highest of any ranked ground,Polymarket on-chain order book / API; the AFT paper used on-chain historical order-book data,YES,"Sourced: top single account realised 2.0m USD/yr; top 10 combined ~8.2m USD/yr. So single-participant capacity is order 1e6 USD/yr of PROFIT (T1). Deployed-capital capacity is a GUESS",1,"Legal access for a Thailand-resident participant UNVERIFIED and gating. A related high-frequency order-book paper (arXiv 2605.00864) exists and was NOT read"
3,US micro/small-cap published-anomaly corner,"Capacity, and only capacity. Microcaps are 3% of total market cap but 60% of the number of stocks (Fama-French 2008 as reported by Hou-Xue-Zhang) - a sub-1M USD book has no capacity constraint where a large book has nothing else. This is the only ground where the project's smallness is itself the edge","McLean & Pontiff (JF 2016): post-publication, the beta2+beta3 sums are correctly signed for all six costly-arbitrage variables and significant for five of six - predictor portfolios concentrated in costly-to-arbitrage stocks RETAIN more return post-publication",T1,"Hou-Xue-Zhang (NBER WP 23394): with microcaps controlled via NYSE breakpoints and value-weighting, 286/447 (64%) anomalies insignificant at 5%, 380 (85%) at t>3, 95/102 liquidity variables (93%) insignificant - and their stated reason is that 'because of high costs in trading these stocks, anomalies in microcaps are more apparent than real'. ALSO McLean-Pontiff find the idiosyncratic-risk interaction is significantly NEGATIVE (p=0.000): high-idio portfolios decay MORE post-publication",T2,Low-to-moderate per-name Sharpe but wide cross-sectional breadth,"CONDITIONAL - untestable at monthly rebalance on a handful of names; potentially testable across hundreds of microcap names where breadth substitutes for time. Must be measured, not assumed",Microcap price history with delisting coverage + fundamentals; project holds the point-in-time price store and EDGAR fact store,"PARTLY - the known delisted-securities coverage gap (already on the project's pending paid-decisions list) bites hardest exactly here","GUESS: 1e5-1e6 USD, i.e. below the level at which the HXZ cost objection bites. NO source I read measures costs for a book this size",3,"HIGHEST-VALUE UNRESOLVED QUESTION IN THE REVIEW: nobody I could source has measured whether microcap anomaly spreads survive a 100k-1M USD book's actual cost structure, which is a different question from an institutional book's"
4,SPAC secondary buy-below-trust + optimal redemption,"The redemption floor caps downside structurally. The 'Bulldog' provision caps any single investor or concerted group at redeeming e.g. 15% of shares - it binds a large fund and not a small one. AQR's own stated edge is IPO ALLOCATIONS and warrant portfolios, which is the leg a small player cannot reach - the secondary leg needs no allocation","Gahng/Ritter/Zhang (RFS 2023), 458 SPAC IPOs Jan2010-Dec2020: 23.9% EW annualised SPAC-period return under an optimal-redemption strategy; 23.6% for an investor buying at the FIRST-DAY CLOSE (no allocation needed); liquidated SPACs still +2.0% annualised; worst SPAC in the whole sample +0.51% annualised. Authors describe it as a default-free convertible bond with extra warrants",T1,"The same authors warn twice that recent deals will disappoint, and report (fn.19) that the 613 SPAC IPOs from 2021 - excluded from their sample - 'appear to be producing annualized SPAC period returns in the low single digits'. AQR describes issuance as 'muted since early 2022' with only a 'mild resurgence'. Klausner et al. (2022) report 11.6% on a narrower sample",T1,"Low frequency of bets (~40 SPAC IPOs/yr over the sample) but a near-riskless floor, so the true Sharpe may be high",PROBABLY NOT at current issuance - ~40 bets/yr is far too few to certify a moderate Sharpe. Only certifiable if the floor produces a Sharpe high enough to compensate; must be measured,SPAC trust values and redemption dates (SEC filings) + secondary prices; project holds the EDGAR submissions store,YES for filings; secondary prices via existing feed,"GUESS: 1e5-1e7 USD per SPAC given trust sizes, but total ground capacity is gated by post-2022 issuance which the AQR paper calls muted",2,"Do NOT carry the 23.9% forward - it is a 2010-2020 number the authors themselves disown for later cohorts"
5,Cross-venue / cross-country crypto price dispersion,"Capital controls and fiat repatriation friction, stated explicitly by the authors - NOT speed and NOT capital. But this friction binds a retail participant HARDER than an institution, which is why this ranks 5th despite the largest measured spreads in the review","Makarov & Schoar (JFE 2020), 34 exchanges / 19 countries: deviations persist for hours and sometimes days-weeks; US-Korea daily average price ratio >15% Dec2017-Feb2018 reaching 40% on several days; Japan-US ~10%; potential arbitrage profit often >75m USD/day, minimum ~2bn USD total over Dec2017-Feb2018; round-trip cost estimated at only 50-75bp for large players; governance/hack risk explicitly rejected as the explanation",T1,"WITHIN the same country deviations 'typically do not exceed 1%, on average' - thin against a 50-75bp round-trip cost, and the retail cost is higher than the 50-75bp the authors compute for LARGE players who get preferential fees. The headline spreads are the cross-country leg, which needs multi-jurisdiction fiat banking a solo participant is least able to obtain. Sample ends 2018",T1,"High frequency in principle, but the large-spread episodes are rare regime events",PARTIALLY - the within-country leg is high-frequency but likely uneconomic; the cross-country leg is a handful of episodes and not certifiable,Tick data across multiple exchanges and fiat pairs,PARTLY - exchange APIs are free but multi-country coverage is not trivial,"GUESS: the paper's 75m USD/day potential is a market-wide figure, not a per-participant capacity. NO per-participant capacity is sourced",1,"Read carefully this is arguably ANTI-evidence for a solo participant: the one edge in the review protected by something other than speed or capital is protected by exactly the friction a retail person faces most"
NOT RANKED,Crypto market making on major pairs,"NONE - this is a latency-rank game like equity HFT","(none found)",n/a,"Albers/Cucuringu/Howison/Shestopaloff (arXiv:2502.18625v2): live experiment, 232,897 minimum-sized maker orders on Binance BTC perp Feb 2024, 127,051 filled. Fundamental NEGATIVE correlation between fill likelihood and post-fill returns; 'commonly-cited strategies highly unprofitable'; spread virtually always one tick = 0.1 USD ~ 0.03bp, negligible vs fees; results assume Binance's BEST fee tier (taker 1.5bp, maker -0.5bp rebate) which a small trader cannot get, and 'would only deteriorate with less favorable fees'; good queue position 'extremely competitive and typically involves latency optimization'",T2,High frequency,"Moot - the evidence is a well-designed negative",Order-book tick data,YES,n/a,0,"EVIDENCED NEGATIVE. Their 'Unprofitability Principle': ease of prediction x ease of exploitation < c"
NOT RANKED,CEX-DEX arbitrage / MEV,"NONE - documented oligopoly with explicit entry barriers","Wu/Sui/Thiery/Pai (arXiv:2507.13023v3), Aug2023-Mar2025: 233.8m USD extracted by 19 major searchers across 7,203,560 arbitrages",T2,"Same paper: three searchers captured three-quarters of both volume and extracted value, and concentration is INCREASING; explicit entry barriers of 'capital requirements, low-latency infrastructure, inventory risk, and uncertainty of block inclusion'; profitability tied to block-builder integration with exclusive searcher-builder relationships; three builders dominate, two vertically integrating their own searchers",T2,High frequency,"Moot - structurally closed",On-chain + CEX tick data,PARTLY,"~12m USD/yr average per major searcher (233.8m over 19 searchers over 19 months) - but the top 3 take 75%",0,"EVIDENCED OLIGOPOLY. Note authors' Flashbots/Paradigm affiliations; the finding does not serve those interests, which slightly raises confidence"
NOT RANKED,Retail order-imbalance signals,"NONE","Boehmer/Jones/Zhang/Zhang (JF 2021) as REPORTED BY the replication - I did not read BJZZ itself",T2 secondhand,"Ardia/Aymard/Cenesizoglu (arXiv:2403.17095): in 2016-2021 the long-short strategy 'ceases to be profitable' on all stocks (insignificant at every horizon, both signing methods); predictability 11.16bps->6.02bps per week; large-cap predictability VANISHES; small-cap one-week alpha 0.437%->0.143% (>65% lower). BJZZ's own verbatim disclaimer: 'We ignore trade frictions and transaction costs here, and thus, the results do not have implications for whether outsiders can profit from these signals'",T2,High frequency (weekly),"Moot - the evidence is decay to insignificance",TAQ-style trade-level data to identify subpenny retail prints,NO - TAQ is paid,n/a,0,"EVIDENCED DECAY, within one sample period of publication"
NOT RANKED,Equity HFT / latency-rank liquidity provision,"NONE - the edge IS the latency rank","Baron/Brogaard/Hagstromer/Kirilenko: median HFT annualised Sharpe 1.61 and 4-factor alpha 9%; 90th percentile Sharpe 11.1 and alpha 89%; performance persistent (daily coefficients 0.235 revenues / 0.387 returns); trading profit margins 27.4-64.5% of revenue",T1,"Same paper: differences in RELATIVE LATENCY account for the large differences in performance, and firms improving latency rank via colocation upgrades see improved performance. A non-colocated participant has latency rank = last",T1,Very high frequency,"Moot - structurally closed",Colocation and direct feeds,NO,n/a,0,"STRUCTURALLY CLOSED. Included to document what cannot be replicated"
NOT RANKED,Closed-end fund discounts,"unknown - NO SOURCE READ","(none)",n/a,"(none)",n/a,unknown,unknown,unknown,unknown,unknown,unknown,"UNRANKED FOR WANT OF EVIDENCE. I read no source. Absence of a ranking is absence of evidence, not evidence of absence"
