family_key,outcome,outcome_source,n_observations_proxy,n_trial_rows_in_db,best_dsr,best_sharpe_annualized,rebalance_frequency,cost_sensitivity,capacity,mechanism_type,module_path
asset_growth,Dormant-parked,dormant_pool_manifest.json entries,2928,24,0.6801,0.3023,annual,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_asset_growth.py
best_ideas_13f,Dormant-parked,dormant_pool_manifest.json entries,2890,54,0.8445,0.6721,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_best_ideas.py
bonds,Dormant-parked,dormant_pool_manifest.json entries,4877,18,0.3910,0.3449,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_bonds.py
buyback,Dormant-parked,dormant_pool_manifest.json entries,2175,14,0.5867,0.4496,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_buyback.py
commodities,Dormant-parked,dormant_pool_manifest.json entries,2456,24,0.7731,0.9048,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_commodities.py
correlation_risk_premium,Dormant-parked,dormant_pool_manifest.json entries,4936,30,0.4102,0.2599,unknown,unknown,unknown,other,app/services/research_lab/cross_sectional_correlation_risk_premium.py
country_valmom,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",6581,30,0.1043,-0.0999,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_country_valmom.py
crypto,live-registered,scorecard cross_sectional_crypto_SCORECARD.json decision field,2128,140,0.5258,1.0544,unknown,cost arm(s) persisted in scorecard: one-way bps range 15.00-60.00 across 4 scenarios,"$2,033,171 (median trailing-365-row daily USD volume (yfinance crypto Volume is already in USD) across the 66 alive coins of CRYPTO_)",crypto,app/services/research_lab/cross_sectional_crypto.py
dividend_month_premium,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2662,12,0.0779,-0.1171,calendar-driven,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_dividend_month.py
dividend_payment_pressure,Dormant-parked,dormant_pool_manifest.json entries,2180,34,0.3180,0.4030,unknown,unknown,unknown,flow mechanism,app/services/research_lab/dividend_payment_pressure_timing.py
dumb_money,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",76,12,0.2274,0.4824,calendar-time,unknown,unknown,flow mechanism,app/services/research_lab/cross_sectional_dumb_money.py
earnings_announcement_premium,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2681,16,0.0438,-0.2311,calendar-driven,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_earnings_premium.py
eigenportfolio_statarb,Dormant-parked,dormant_pool_manifest.json entries,2886,24,0.0048,0.0935,unknown,unknown,unknown,other,app/services/research_lab/cross_sectional_eigenportfolio.py
firesale_pressure,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",65,12,unknown,0.0000,calendar-time,unknown,unknown,flow mechanism,app/services/research_lab/cross_sectional_firesale_pressure.py
funding_carry,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2157,36,0.8283,0.8774,unknown,unknown,unknown,crypto,app/services/research_lab/cross_sectional_funding_carry.py
funding_carry_pit,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2158,12,0.2815,0.3076,unknown,unknown,unknown,crypto,app/services/research_lab/cross_sectional_funding_carry_pit.py
fx,Dormant-parked,dormant_pool_manifest.json entries,3843,36,0.3397,0.1582,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_fx.py
index_removal,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2875,6,0.3597,-0.0122,unknown,unknown,unknown,flow mechanism,app/services/research_lab/cross_sectional_index_removal.py
